Time resolution is 1 ps
TIME = 2135000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2145000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2155000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2165000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2175000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2185000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2195000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2205000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2215000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2225000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2235000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2245000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2255000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2265000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2275000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2285000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2295000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2305000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2315000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2325000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2335000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2345000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2355000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2365000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2375000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2385000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2395000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2405000 | START = 0 | IDX_PRIME = 01 | FINISH = 1 | ENA/ENB = 00
TIME = 2415000 | START = 0 | IDX_PRIME = 02 | FINISH = 1 | ENA/ENB = 00
TIME = 2425000 | START = 0 | IDX_PRIME = 03 | FINISH = 1 | ENA/ENB = 00
TIME = 2435000 | START = 0 | IDX_PRIME = 04 | FINISH = 1 | ENA/ENB = 00
TIME = 2445000 | START = 0 | IDX_PRIME = 05 | FINISH = 1 | ENA/ENB = 00
TIME = 2455000 | START = 0 | IDX_PRIME = 06 | FINISH = 1 | ENA/ENB = 00
TIME = 2465000 | START = 0 | IDX_PRIME = 07 | FINISH = 1 | ENA/ENB = 00
TIME = 2475000 | START = 0 | IDX_PRIME = 08 | FINISH = 1 | ENA/ENB = 00
TIME = 2485000 | START = 0 | IDX_PRIME = 09 | FINISH = 1 | ENA/ENB = 00
TIME = 2495000 | START = 0 | IDX_PRIME = 0a | FINISH = 1 | ENA/ENB = 00
TIME = 2505000 | START = 0 | IDX_PRIME = 0b | FINISH = 1 | ENA/ENB = 00
TIME = 2515000 | START = 0 | IDX_PRIME = 0c | FINISH = 1 | ENA/ENB = 00
TIME = 2525000 | START = 0 | IDX_PRIME = 0d | FINISH = 1 | ENA/ENB = 00
TIME = 2535000 | START = 0 | IDX_PRIME = 0e | FINISH = 1 | ENA/ENB = 00
TIME = 2545000 | START = 0 | IDX_PRIME = 0f | FINISH = 1 | ENA/ENB = 00
TIME = 2555000 | START = 0 | IDX_PRIME = 10 | FINISH = 1 | ENA/ENB = 00
TIME = 2565000 | START = 0 | IDX_PRIME = 11 | FINISH = 1 | ENA/ENB = 00
TIME = 2575000 | START = 0 | IDX_PRIME = 12 | FINISH = 1 | ENA/ENB = 00
TIME = 2585000 | START = 0 | IDX_PRIME = 13 | FINISH = 1 | ENA/ENB = 00
TIME = 2595000 | START = 0 | IDX_PRIME = 14 | FINISH = 1 | ENA/ENB = 00
TIME = 2605000 | START = 0 | IDX_PRIME = 15 | FINISH = 1 | ENA/ENB = 00
TIME = 2615000 | START = 0 | IDX_PRIME = 16 | FINISH = 1 | ENA/ENB = 00
TIME = 2625000 | START = 0 | IDX_PRIME = 17 | FINISH = 1 | ENA/ENB = 00
TIME = 2635000 | START = 0 | IDX_PRIME = 18 | FINISH = 1 | ENA/ENB = 00
TIME = 2645000 | START = 0 | IDX_PRIME = 19 | FINISH = 1 | ENA/ENB = 00
TIME = 2655000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2665000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2675000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2685000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2695000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2705000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2715000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2725000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2735000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2745000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2755000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2765000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2775000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2785000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2795000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2805000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2815000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2825000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2835000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2845000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2855000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2865000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2875000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2885000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2895000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
TIME = 2905000 | START = 0 | IDX_PRIME = 1a | FINISH = 1 | ENA/ENB = 00
